fr	bbj
Malika la fille filmée dans la sextape prête à balancer Mimb et Eteki.	Malika mjwǐ yə pú kə le é nə̂ mtsə́nɔm á wə́ gɔ́ laʼtə mnwə Mimb pû Etéki.
Buhari ne voulait pas de Ngoh Ngoh dans la salle.	Buharí kátə kúŋ nə́ yɔ̂ Ngɔ̌h Ngɔh dyə̂ cúʼtə̀.
voici les dernièresnouvelles du palais de l'Unité sur Paul Biya.	Yɔ́ jʉɔjʉm mcuŋ nə́ Paull Biya ntʉ́m Nəmo Ntamtə Guŋ mɔ̌.
Le salaud de Martin Mimb m'a affranchie de ma naïveté- une victime du journaliste se déchaîne !.	Ŋkɔ̌ghɛ́ kə̂ shyə m jʉm fʉmnyə á ! Yə̂ŋ mghɔm taʼ mə́kwɛ́ bə Mimb kə fǎʼ nə́ é.
son père laisse exploser sa colère.	Táp ě wə́ dɛ́tə́ jɔ́ páʼ lûŋ é sə́ lə.
Franc- maçonnerie- le beau- frère de Cabral Libii fait le grand déballage.	Fəláŋ masonəlî: shyə̂ Cabral Libii ghɔm awɛ́.
plusieurs personnalités interdites de quitter le territoire camerounais.	Pú coʼbí boʼyɔ̂m mkǎm guŋ nə́ ghɔ tə́m.
Il escroque 38 millions à son ex aux USA et rentre épouser une autre femme au Cameroun.	É fʉ bvo mə́ghap e USA də́ shûʼ 38  bhə́nyə́ ŋkó muʼ go á Kaməlûm.
une journaliste menace de divulguer les preuves qui accablent Camus Mimb.	Taʼ mə́kwɛ́ wə́ shə́ŋ nə́ cyanyə mcuŋ kwîntɛ̌ a pə́ wə́ shyə́ Martin Camus Mimb.
plusieurs chars et des centaines de soldats en direction de Ngoketunja.	Vəŋ mmə́twâshu pú a msə̌ŋwi ntwɔ́k ŋkhə̌ lé jyə m Ngoketúnjá.
Une vidéo de cadavres de militaires tués à Otu- Eyumojock devenue virale sur la toile.	Taʼ ciŋnyə shyəcyə mpfə́pɔ bə pû jwə́ wáp Eyumojɔ̌k lətsʉʼ nə́ mə̂lɔ̌mgʉgʉɔ́.
Yolande Bodiong expose son ami Martin Camus Minb.	Yolande Bodiong lə sô é Martin Camus Mimb shyə́ sim.
un homme pique une crise après avoir vu sa femme.	Taʼ tâmbɛ̌ yɔ́ jwî i nə́ ntám gho.
Drame et infidélité:deux amoureux collés à Douala.	Msya pú a ghàp: mnə̂ pɔŋkuŋ pə́pʉə́ láʼnyə́ Dwǎlá.
Dion Ngute et ses ministres sauvés de justesse par le sous- préfet de Yaoundé 1.	Diong Gute pu a mŋwâlâʼ pyə́ náʼ bvɔ́k thə́ŋkɔ́p e mlaʼ Tâdyə̂ gɛcáʼ Yawude I.
Audit des fonds Covid- sous la panique Madeleine Tchuinte répond à ses détracteurs.	Tə́ŋtə́nwə nə́ ŋkâp nəbá Kolónà: Madeleine Tchuinté wə́ há piŋghɔm bî mghɛbo pyə́.
Paul Biya fait convoquer des officiers à la sécurité militaire.	Paul Biya ghə pú kê mkətúʼ tsʉʼsâʼ Mkətúʼ.
les nouvelles révélations de Remy Ngono.	Shə́ mcuŋ sə́ myə a fə́ bî Remi Ngono.
Malickagate:Junior Zogo déballe tout sur le groupe 'Déconnons un peu'.	Nwəmalíckà: Junior Zogo hakmnwə awɛ́ ntʉ́m cûʼtə “Dekonɔ́ŋ ɛŋ pê’.
attaqué par Ngoh Ngoh Maxime Eko Eko rejoint le camp de Mvondo Aylo.	Ngɔh Ngɔh kam Maktsime Eko Eko e yáʼ bvʉ m nə̂ jʉm Mvondo Aylo
annoncé mort Patrice Nouma sort de sa réserve.	Patrice Nouma yə pú kə ghaə́ ě pfʉ́ á ghɔmnwə pú yûʼ gi i.
l'Ambassade du Cameroun en Belgique prise d'assaut par des Camerounais.	Po á Kaməlûm pyə wáp Bɛlzhík á tə́m awɛ́ ŋkɔ́ dzə nəmo yáp.
la réponse de Bidjocka à Libii.	Piŋghɔm Bidjocka bî Libii.
Fru Ndi a failli gifler Jean Michel Nitcheu.	Fru Ndi pə́ gɔ́ maʼ fe tə̂ŋ Jean Michel Nitcheu.
les sécessionnistes font exploser un véhicule blindé de l'armée à Bui.	Pəghapgǔŋ to taʼ mə́twâ shu msə̌ŋwi ntʉ́m Bwǐ.
Un de mes petit- enfants a dit à ses parents que nous sommes trop mauvais on a volé.	Muʼ nə̂ pǒ pô pə̌ ghɔm bí mtâ pyə́ gaə́ á bə ma yɔ́kpə̌ pɔ́k teʼ tə́ pə zhʉ̂.
Dos au mur Manaouda Malachie livre des noms.	Ǎ cyə Manaouda Malachie tú mtsǒ.
Field Marshall envoie un message à Samuel Sako et aux 'Généraux NOPITY' et 10 Kobo'.	Field Mashal cya taʼ ŋkʉɔ bî Samuel Sako ba bí mtâdyə̂ msə̌ŋwi NOPITI gə́ Kobo 10.
Crise anglophone :la liste des 33 ministres et personnalités dans le viseur des USA.	Tɔnyə wə́ pə gəlísì: mtsǒ Mŋwǎlǎʼ 33 nə̂ yoʼ pə USA
Scandale le CEO d’Orange Cameroun assigné en justice.	Nwə̀ tə̀ ghɔ̀m: Pú ké CEO Oláŋzhə́ Kaməlúm dyə̂sâʼshɛ
Me Nkom dévoile la promesse que lui a faite Shakiro s'il sort de prison.	Ntwɔ̂kshɛ Nkɔ́m tú mkaʼnyə myə Shakiro lə ghə bí cwə yə é lə tə̌m dyə̂cɛ̌ áá.
des ouvriers pris au piège dans l’effondrement de l’échafaudage d’un immeuble R+5.	Mghɛfǎʼ nə̂ yǔʼ paʼ mdêk tɔ̂ á wə́ pfyə̂ də̌m pú
Suisse: le couple Biya profite à fond de son séjour à Génève.	Swîs: Biya pú jwî é wə́ cə́ŋtə́ dzʉ́pe cwə̂ yap Zhənɛ̂və̀.
02 gendarmes décapités à Babadjou.	Pú yáʼ thə́ mkətúʼ pə́pʉə́ Babajû.
une campagne lancée contre Shakiro et les LGBT (vidéo).	Pú gɔ tám pé pya Shakiro pú a guŋ pə LGBT
Espoir Matomba s'en prend à la BAS.	Espoir Matomba wə́ ŋkó m tsə́ BAS.
70 Camerounais ont été tués en juin 2021.	Pú kə nə́ Dzʉ̂ʼbvʉ 2021 jwə́ pó á Kaməlûm 70
Crimes ce que cachent les actions de la BAS dans la traque contre Biya en Suisse.	Nnwə́ yə â bə́ ntûŋ BAS nə́pâʼ wâp shwanyə Paul Biya lə.
Depuis son pays d'adoption Paul Biya écrit une lettre à Macron.	Pɔ́l Biyǎ tínnyə́ tə guŋ thə é ŋwáʼ ŋwaʼnyə bî Macron.
Les raisons qui ont poussé le député Salmana à frapper sur sa nièce.	Tsə́ tsyə a tsə́nyə́ pəŋthə́lâʼ Salmana tə́ e cwɔ́ mû fə̂ e áá.
Voici comment Paul Biya et sa suite sont gardés.	Yɔ́ páʼ pû byáp Paul Biya pú a Mŋwâlâʼ pyə́ á yə̌ŋ.
Viol et assassinat d'une famille à Dubaï: un Camerounais et sa femme nigeriane recherchés.	Túŋdyə́ yə pú kə ghɔ Dubayə núŋ biŋ jwə́ wáp: pú wə́ shə́ŋ taʼ yə Kaməlûm pú jwî e yə Nizhelya.
Une séance de chicha équivaut à 100 bâtons de cigarettes consommés.	Pú cúʼnyə́ taʼ dhə̌mɔ́k shishâ nə́ sikâ mtaʼ 100 myə mǒ nwə́ áá.
Kidnapping spectaculaire à voici les ravisseurs (vidéos).	Bʉɔ̌ ghəm pɔ dwɔ́ʼɔ́: yɔ́ pəghə̌mpɔ̌ pɔ̌. (ŋaknyə cìŋnyə̀)
Les Ambazoniens présentent l'inspecteur de police qu'ils ont enlevé (vidéo).	Pə Ambazonyɛ́ŋ wə́ dáʼtə́ taʼ mə̂kuʼ bə wáp ghəm é gɔ́ dwɔʼ.  (ciŋnyə shyəcyə)
Affaire ces charges que Camus Mimb redoutait et qui n’ont pas été retenues.	Shə́ mnwə myə Kamʉ Mimb kə̂ bó bwôk daʼgaə́ ǎ ne shyə́ə́.
libéré voici les premiers mots de Shakiro.	Mɔ̂ mdzə ghɔm Shakiro jʉm páʼ e ntə́m cɛ́ áá.
Fridolin Nke convoqué à la SEMIL.	Pú wə́ byáp Fridolin Nke m SEMIL
un homme d'affaires indien profère des menaces contre EcoMatin.	Taʼ gɛywə́ Iŋdə̌ wə́ fə́ŋ mtə́ŋ EkoMatiŋ
Manifestation anti-Biya: la BAS dévoile ce qui va se passer [COMMUNIQUE].	 Nə́ laʼtəlúŋ nə̂ Biya: BAS wə́ gɔ́m ywə́ yə á gɔ tí cyətə áá [ŋkʉɔ bvəvə].
Renouvellement des organes de base du RDPC : les modalités connues.	Nə́ kwyə́pnyə pəsáʼ mzhitə RDPC: pú ê dáʼ mzhəŋ myə́.
Covid- près de 80 000 guérisons enregistrées au Cameroun.	Kolónà: gwɛ́ a pɔ 80 000 ntʉ́m Kaməlúm yɛgho.
DERNIERE les anglophones prennent d’assaut l’hôtel de Paul Biya.	Pəgəlísǐ sə Paul Biya dyə̂ otɛ̂ é.
Affaire Malika: voici les charges retenues contre Martin Camus Mimb.	Nwə Malika: yɔ́ mnwə myə pú wə́ ŋkə́m Martin Camus Mimb á mɔ̌.
La date de comparution de Martin Camus enfin connue.	Tyə́ʼ shɛ Martin Camus Mimb nə́ miŋ ntə́m.
le journal de 20h de Vision 4.	Mcuŋ Visyɔŋ 4 nə́ mnam 8 mtsʉ́ʼ.
journal de 20h de Equinoxe TV.	Mcuŋ Ekinɔ̂ks mnam 8 mtsʉ́ʼ
le juge se déclare compétent dans l'affaire Fondation AYAH vs Ernest Obama.	Fyəʼshɛ̌ ghɔm gaə́ ě kuʼ nə́ tîŋnyə nə̂ shɛ AYAH pû Ernest Obama.
Une Task Force pour la lutte contre le paludisme au Cameroun.	Taʼ hwə pəpûŋ nəbá mhwí Kaməlûm.
première réaction de Me Alice Nkom.	Yɔ́ dzə mghɔm ntwɔ̂kshɛ Alice Nkom mɔ̌.
libération du célèbre homosexuel Shakiro.	Shakiro mbɛ̂mjwǐ tə́m cɛ́.
Comment la corruption mine le secteur l’urbanisme au Cameroun.	Páʼ nə́ nuʼshwə̂ bə́ wə́ bítsʉʼ ntʉ́m mtísuŋ Kaməlûm.
Pourquoi les Camerounais sont réticents à demander les permis de bâtir.	Nwəkə́ po á Kaməlûm lə pə́ ŋkúŋ nə́ hə́ŋtə gə̌píŋ kwə́paʼ bí gɔ̂pǎʼ?
Permis de batir:  ce que les Camerounais en pensent. 	Gə̌píŋ kwə́pàʼ: yə po á Kaməlûm ŋkwɛ áá.
Meurtre abus de pouvoir torture la BAS France va lancer un appel à témoin contre le colonel Bamkoui.	Nə́ zhwə̂ pɔ̀, nə́ lə páwa kúʼú, nə́ lə BAS jɔ́gó ghə Fəlaŋsí ghɔ̂m gaə́ wâp gɔ pya mfaʼ cwəpuŋ Kolonɛ́l Bamkoui.
Détention illégale maitre Alice Kom promet de faire libérerShakiro par tous les moyens.	Cɛ̌ tə ntʉ́m nwə dɔ́: Ntwɔ̂kshɛ Alíce Kom ghɔm gaə́ á ghə á gə̂kə́lə́ bə é té Shakiro cɛ́.
Martin Camus Mimb fuit la police camerounaise.	Martin Camus wə́ ŋkʉ́ mmə̂kuʼ Kaməlûm.
Le député Salmana Amadou Ali frappe violemmentune femme dans le Septentrion.	Pəŋthə́ lâʼlǎʼ Salmana Amadou Ali cwɔ́ taʼ mjwǐ jyəŋkaʼ kwaʼ muʼcí.
Un homme de 46 ans surpris en plein ébats avec une gamine de 11 ans à Bayangam.	Pú ghəm taʼ tâmbɛ̂ ŋkaʼ 46 e á wə́ núŋ pú mû ŋkaʼ 11 Yɔ́gám.
Poignardé à mort pour une bière à Niété- Kribi.	Pú swop mo tə é pfʉ́ nə̂ nwə taʼ shə̂ŋ mluʼ Niete- Kribi.
les contenus du téléphone d'un ministre de Biya mis en ligne.	Pǒtsə́ ntʉ́m ŋkhətʉɔ́ taʼ Ŋwàlǎʼ Paul Biya sa nə́ mə̂lɔ̌mgəgʉɔ́.
Menacé par le colonel Bamkoui Fridolin Nke porte plainte et lance un collecte de fonds pour fiancer son procès.	FridolinNke sɔ́mɔ́si bíŋ maʼbú dó ŋkáp nə sáʼshɛ̂ ê bə Kolonɛ́l Bamkoui maʼnyə é maʼnyə.
Cameroun/ramené du village il y a 25 ans il veut ‘tuer’ sa bienfaitrice.	Â ghə guʼ 25 páʼ buŋtʉ̌m də é fə́ láʼ á, ě wə́ shə́ŋ nə́ zhwə̂ é.
Paul Biya serait- il en train de transférer la capitale à Ngaoundéré ?.	Pə́ Paul Biya á wə́ də́ tísuŋ ŋkhəŋkhə bʉə́ m Ngawúŋdélé a?
Les caisses de l’Etat sont vides les salaires et la CAN en danger.	Mbɔ́kké gɔ̂pnǎʼ wə́ bə á tú, mpéfàʼ pɔmnəŋ pú a KAN gɔ náʼ pɔ́m.
De Fotso à Mokam en passant par Noutchogouin des holdings- héritages à rudes épreuves.	Ntóʼ nə̂ Fotsǒ, gɔ́ ŋkəm nə́ Mokam tə tʉɔnyə Nuʼcɔkgwɛ́ pəyôntwasim- ŋkáp mtsìʼnyə̀.
Le port autonome de Kribi réalise 4 milliards de bénéfice en 2020.	Pɔ́ otonɔ̂m Kribi ghə pe 4 shûʼ shǔʼ nə̂ gûʼ 2020.
Ces exonérations fiscales profitent aux riches.	Nə́ tê shə́pɔ nə́ tâksi yəŋ yə ǎ wə́ gə́ mghɛŋkáp tsʉ̂pè.
Les prix du maïs sec ont augmenté.	Dəŋ gəfə jəmyə̌m kwóʼ.
Séduit par le Cameroun les égyptiens veulent investirdans l’agriculture les travaux publics et l’agro- industrie.	Kaməlúm tə́ŋ Egípto tə̌ŋ tə wáp á wə́ shə́ŋ nə́ tsʉ̂ʼcǎʼ, gə́ mfaʼ gɔ̂pnaʼ bíŋ ŋkwə́ mtsʉʼfaʼ nə də́ tsə́tsʉ́ nyâp shə́.
La Beac réactive le comité de normalisation financière.	BEAC víʼtə́ kəm nənyáp nwə ŋkáp.
Café- plus de 6 milliards pour le guichet producteurs.	Kafɛ́: shûʼ shǎʼ 6 ntwɔ́k bí nə́ nə́tsʉ̂ʼ.
Libong Li Likeng veut en finir avec Danpullo.	Libong Li Likeng wə́ shə́ŋ nə́ miŋ pú a Danpullo
Exploitation l'arnaque des multinationales.	Pəghə mtsʉʼfaʼ máp ntʉ́m mguŋgǔŋ wə́ fʉ́tə́ pɔ̀.
Prix 6 jeunes entrepreneurs primés à Douala.	Gwəsəm mntʉ̂mfǎʼ pɔ ntɔkɔ́ kwí mcwɔ́ʼfaʼ Dwǎlá.
La dématérialisation des Centre des impôts a permis de collecter 845 milliards de francs.	Dyə̂ pétâsǐ yáʼ nə́ nə́ lə tsə́mkam fáʼ a ghə̂ e lâktə  845 shûʼ shǎʼ.
Centrale hydroélectrique de Mbakaou: la mise en service reportée de juin à fin 2021.	Sáŋtrə́ Idəlolîk: Pú fɛ́ tyə̂ʼ nə́cwɔ̂ʼ jáp m nə́ Fʉ̂ʼbvʉ 2021.
La CDC exporte 15 211 tonnes de bananes vers le marché international.	SÍDISÎ də 15 211 tɔ̂nə ŋkədé gɔ́ dəmsim gùŋgùŋ
Minette Libom Likeng somme les opérateurs de téléphonie de produire un service de qualité.	Minette Libom Likeng ghɔm gaə́ pəghənwə nə̂ khətʉɔ́ pə́ fáʼ pəpúŋ.
l'offensive britannique malgré l'emprise de la France.	Mguŋ Bəlitaník wə́ sə́tə́ nə̂ yap ba mpáʼ Fəlaŋsí tə̌ wə́ há tsʉʼ bí pú lə.
Loi des finances du ce qu’il faut savoir sur le budget de l’Etat de 2022.	Mcoʼ nwəŋkáp : Ywə́ yə á shə́ŋ gaə́ pə zhyə́ nə̂ dəŋ ŋkâpmfaʼguŋ nə́ gûʼ 2022 lə.
Budget de l’Etat les grandes orientations de la corruption ?.	Ŋkâpmfáʼgùŋ: mjyə gwyə̂ nə núʼmshwə pɔ lə?
le port autonome de Douala construit une clôture de plus de 20 Km.	Pɔ̂ otonɔ̂m Dwǎlá kwə́ taʼ ŋkɛpé bə á twɔ́k kilométa 20.
Viande à 400 000 voici le restaurant le plus cher du Cameroun.	Bap nə́ shâʼ 400 000, yɔ́ mdyə̂ yócəŋ myə â ntʉɔ teʼ Kaməlûm á mɔ̌.
Budget de l’Etat... les grandes orientations de la corruption.	Ŋkâp mfaʼ gùŋ...mjyə gwyə̂ nə núʼ mshwə̀
guerre autour des prix du ciment le ministre du commerce menace.	Shǔ wə́ dóʼ nə̂ dəŋ pʉə simâŋ Ŋwâlâʼ mnwə sǐm wə́ gɔ́ tɔ́m
Sangha Mining au centre d’une honteuse cabale.	Sangha Mining ghə sǒ kú é nə̂ múʼ nwə̀.
Centrale hydroélectrique de la mise en service reportée de juin à fin 2021.	Pú fɛ́ tyə̂ʼ nə́ hê mjyədyə̌ Saŋtral Idəlolektrîk jáp m nə́ Fʉ̂ʼbvʉ 2021.
l'intégralité du document de programmation économique et budgétaire 2022- 2024.	Ŋwaʼnyə dəŋ ŋkâpnəséguŋ pú a bʉɔ̌ tyə̀ʼ 2021-2024.
Des ex- employés de la Société Générale Cameroun dans la tourmente.	Bvo mghɛfaʼ ntɛ Sosyeté Zhenerál Kaməlûm sî bə nwə̌ cyə wáp.
Nexttel au bord de la faillite.	Nexttell pə́ kə́ŋ ghʉ́m.
AGE de la  Seidou Njoya tacle Mouelle Kombi en mondovision (vidéo).	Seidú Njóyǎ kam Mouelle Kombi Mɔŋdóvissyɔ̂ŋ (ciŋnyə shyəcyə)
L’Assemblée générale de la FECAFOOT interdite par le sous- préfet de Yaoundé 2.	Tádyə̂ gɛcǎʼ pfɔ̌p Yawude 2 coʼ cúʼtə FEKAFÛT.
le ministre Mouelle Kombi s'oppose au processus électoral.	Ŋwǎlǎʼ Muélé Kɔ́mbǐ  wə́ ŋkə́ŋnyə́ bʉɔ̌ ghə msaʼnyə FEKAFÛT.
le grand tourbillon à la fédération de football.	Bɔ̂kbɔ́k khəkhə mkəm nəsé fə̀bɔ̀.
Election à la la machine de 'fraude' en marche.	Msaʼnyə pú a khəkhə tə tíŋnyə̂ síŋ ó lə pə́ wə́.
Samuel Eto’o prépare sa candidature.	Samuel Eto’o wə́ nyáptə́ nə́ kaʼ pù é thə́ nə́ msàʼnyə̀.
les choses se précisent.	 Ntʉ́m mnwə̌ tóʼ nə́ lɔ̂.
le championnat reprend droit de cité.	Shampyoná piŋ ntóʼ.
le Cameroun à genoux devant la FIFA.	Kəməlúm kam mkwíʼtə́ dzə̌ FÍFÀ.
Raphael Nganguele recordman du Cameroun privé des jeux olympiques.	 pú coʼ Raphael Nganguele mə́cwɔ̂ʼ khʉdʉ̌  nə́ ghɔ msaʼnyə mfyə̂ Olɛmpîk.
Assemblée générale de la la FIFA et la Caf font paniquer le gouvernement.	Kwɔtə cûʼtə FIFA pú KAF ghə gɔ̂pnaʼ sə́ŋ.
Menacé de mort Jean Claude Billong quitte la Turquie.	Pú pap nə́ zhwə̂ Jean Claude Billong tə é fə́ Tʉkî ŋkwɔ́ʼ.
la FIFA désavoue et humilie Mouelle Kombi.	FIFA ghə́ gɛ̌ bíŋ ntám nɔm nə̂ Muélé Kɔ́mbì.
Francis Ngannou reconnu athlètes le plus puissant du monde.	Pú píŋ gaə̂ Francis Ngannou wə́ bə́ dəŋdzə mə́cwɔ̂ʼ pfomkəm ntʉ́m gùŋ.
Vincent Aboubakar dévoile les raisons de son départ de Besiktas.	Vincent Aboubakar tú mnwə myə a kə ghə tə́ e tə́m Besiktâs lə.
comment la FIFA fait reculer Mouelle Kombi.	Ywə́ yə a gə tə́ FIFA pâk Mouelle Kombi shyá jʉm lə.
Lions Antonio Conceicao de plus en en plus proche de la sortie.	Pə tám fəbɔ Antonio Conceicao lə cu yap bíŋ á m jʉm tə wáp wə́ gɔ́ tə́m ŋkɛ̀.
Assemblée Générale extraordinaire FECAFOOT: Seidou Njoya défie Mouelle Kombi.	Kwɔtə cúʼtə FEKAFÛT: Seidu Njoyǎ cyə Mouelle Kombi.
Port autonome de Douala Champion du Cameroun.	Pɔ́ Otonɔ̂m Dwǎlá tə́m dəŋdzə Kaməlûm.
Un candidat inattendu se lance à la présidence de la FECAFOOT.	Taʼ mo bə pú kátə̂ bə́ wə́ mɔ́ktə́ é á yáp tsô tsyə́ nə̂ pə̂ Tâdyə̌ FECAFÛT
Samuel Eto’o reçu au ministère français de l’égalité femmes- hommes.	Ŋwâlǎʼ Fəlaŋsí nə̂ nwə pəbɛ̂ mdəŋ pú a pəjwǐ lə Eto Fîls.
Ajara Nchout offre des soins ophtalmologiques aux populations défavorisées du Nord.	Ajara Nchout ghə mghɛpə́ŋ təŋláʼ jyəŋkaʼ pyə mnyə̂ mâp jɛ́ á pú pá wáp pə̂ fě .
CAN 2021 le président de la CAF met fin aux polémiques.	KAN 2021: Tâdyə̂ KAF yáʼ mshɛ.
Stade Omnisports de Yaoundé toujours en construction	Pú a  jaə́ nə́ nə́ kwə̂ Yɔ́mkəshaʼ Omnispɔ̂ Yàwùdè.
Camtel Bafia volleyball évolution championne du Cameroun.	Kamtɛ́l bafia Volé bɔ̂ Evolʉ́shyɔ̌ŋ tə́ dzəŋdzə Kaməlûm.
fin des travaux voici ce qu’il faut retenir.	Yɔ́ ywə́ yə pə̂ gɔ zhyə́ jʉm pâʼ cúʼtə mi á yə̌ŋ.
Crise à la FécaFoot secoue toute la république	Mtɔnyə myə á Fekafût á wə́ shʉ́ʼnyə́ guŋ guŋ awɛ́.
Seidou Mbombo Njoya appelle au cessez- le- feu.	Seidú Mbombó Njóyǎ wə́ gaə́ pú yáʼ shù.
Marlène Emvoutou dévoile ses ambitions.	Marlɛ́nə́ Emvoutou hak tsə́ tsyə é wə́ báp nə́ ghə áá.
la grosse imposture des formules de championnat.	Mə̂tǒm mfʉm yə ǎ ntʉ́m bʉɔ̌ nyap shampyonâ
Zomo- Bem compare Chantal Ayissi à ENEO capable d'alimenter plus de 4 pays.	Zomo- Bem wə́ shúʼnyə́ Chantal Ayissi nə̂ ENEO yə pə́ a hâ chyə ntʉ́m mguŋ 4.
la chanteuse Nabila et Nicolas Paez sont devenus parents.	Jwopshyə Nabila pû Nokolas Paez zhʉ́ pətsə́pó.
Occultisme/ Chantal Ayissi est allée au Benin - son frère Leduc déballe tout sur ses pratiques.	Nwə́ mkɛ̀/Chantal Ayissi kě gɔ Benɛ̂ŋ. Fə̂ é Leduc wə́ gɔ́m guŋ tsə́ tsyə e kə ghə áá.
Dzou àla découverte d’un percussionniste polyvalent.	Dzou wə́ jɔ́ taʼ bûʼtsə́ bə é zhyə́ nə́ pûʼ ntîntǐ.
l'entreprise d'un chanteur camerounais valant 100 millions incendiée.	Tsʉʼfaʼ gwyə́ taʼ mu e Kaməlûm gwɛ́ a shûʼ 100.
